customer_id,region,device_type,subscription_plan,account_age_days,monthly_spend,num_orders_last_90d,avg_order_value,support_tickets_raised,days_since_last_login,pages_per_session,churned
CUST00042,East,Mobile,Basic,956,272.37,5,196.34,2,205,14.9,1
CUST00043,West,Desktop,Free,131,91.83,1,86.2,2,34,6.5,0
CUST00044,North,Mobile,Free,867,72.78,8,33.63,0,86,5.4,0
CUST00045,South,Mobile,Premium,253,19.4,6,,0,46,16.2,0
CUST00046,North,Mobile,Free,-1,208.79,5,156.09,1,319,3.0,0
CUST00047,South,Desktop,Basic,1081,28.39,4,202.04,2,86,4.7,1
CUST00048,East,Tablet,Free,122,12567.062497122883,2,161.27,1,192,2.8,0
CUST00049,East,Mobile,Free,1076,42.57,9,91.52,2,98,3.7,0
CUST00050,North,Mobile,Basic,1363,189.41,7,181.69,0,14,7.7,0
CUST00051,East,Mobile,Basic,1160,150.75,5,176.78,0,119,2.4,0
CUST00052,South,Mobile,Premium,1137,28.53,8,113.42,2,347,1.7,0
CUST00053,North,Mobile,Basic,671,23.51,6,101.06,1,286,12.4,0
CUST00054,North,Desktop,Free,275,125.0,4,108.22,1,301,3.8,1
CUST00055,North,Mobile,Free,1329,61.3,8,5.0,2,316,3.1,0
CUST00056,North,Mobile,Basic,781,88.53,3,99.49,2,220,9.9,0
CUST00057,Central,Desktop,Free,419,18.78,0,,0,28,5.9,0
CUST00058,East,Mobile,Free,307,15.28,4,95.26,3,310,,0
CUST00059,North,Desktop,Free,545,17.32,7,136.72,1,101,10.5,0
CUST00060,South,Mobile,Premium,89,53.47,5,86.45,0,248,11.9,0
CUST00061,South,Desktop,Premium,1069,150.32,7,127.86,2,147,6.8,0
CUST00062,North,Tablet,Free,720,43.56,4,5.0,1,120,2.8,0
CUST00063,West,Mobile,Premium,1057,28.66,1,149.91,0,346,7.8,1
CUST00064,South,Mobile,Basic,1448,36.56,5,229.54,0,261,5.7,1
CUST00065,North,Desktop,Free,1044,31.97,5,115.66,2,89,,1
CUST00066,North,Mobile,Premium,1190,50.77,6,149.92,1,43,5.7,0
CUST00067,South,Mobile,Basic,627,164.8,2,136.82,3,96,1.1,1
CUST00068,East,Desktop,Free,1087,12694.655227878146,2,92.18,4,356,2.4,1
CUST00069,Central,Mobile,Basic,585,101.06,3,184.3,0,222,8.7,0
CUST00070,West,Desktop,Free,639,39.13,5,155.08,1,215,13.5,0
CUST00071,South,Mobile,Basic,519,60.82,2,158.79,2,80,12.9,1
CUST00072,North,Mobile,Free,301,30.97,5,135.29,6,16,11.1,1
CUST00073,West,Mobile,Premium,280,98.62,3,81.72,2,322,12.3,0
CUST00074,South,Mobile,Free,876,16.15,5,152.87,1,36,10.1,0
CUST00075,North,Tablet,Basic,847,98.22,3,46.94,3,213,3.8,1
CUST00076,West,Mobile,Enterprise,810,21.58,8,66.3,1,13,14.0,1
CUST00077,North,Mobile,Free,736,180.46,7,92.65,0,29,10.8,0
CUST00078,North,Desktop,Premium,-1,22.66,3,45.46,1,332,2.4,1
CUST00079,South,Mobile,Basic,965,52.32,5,63.92,1,138,8.1,0
CUST00080,South,Mobile,Free,1474,56.12,5,75.77,0,342,6.7,0
CUST00081,Central,Desktop,Free,1281,5.92,2,60.19,3,58,13.2,1
CUST00082,South,Mobile,Enterprise,1191,149.74,5,5.0,1,144,7.0,0
CUST00083,North,Mobile,Basic,463,37.14,6,121.93,0,85,1.2,0
CUST00084,East,Mobile,Basic,567,87.15,9,96.52,2,147,,1
CUST00085,North,Mobile,Free,397,323.64,8,199.59,1,77,5.7,1
CUST00086,North,Desktop,Enterprise,1137,48.83,6,83.23,0,175,16.8,1
CUST00087,South,Desktop,Premium,1018,2.09,1,102.87,3,53,,0
CUST00088,North,Mobile,Free,1042,86.28,2,131.96,2,325,3.2,0
CUST00089,Central,Tablet,Free,13,,6,140.41,2,83,6.0,0
CUST00090,North,Mobile,Basic,1430,30.39,7,112.89,4,118,3.2,1
CUST00091,West,Mobile,Free,1146,122.04,1,152.51,1,335,5.3,1
CUST00092,East,Mobile,Free,359,103.89,6,245.81,2,335,8.8,1
CUST00093,North,Desktop,Basic,1254,95.51,7,104.82,2,301,20.1,1
CUST00094,North,Mobile,Basic,482,83.4,5,133.74,2,148,7.1,0
CUST00095,Central,Mobile,Enterprise,916,37.75,3,86.19,1,233,2.2,1
CUST00096,North,Desktop,Premium,1228,229.31,3,137.95,0,281,8.1,1
CUST00097,North,Desktop,Free,912,38.98,3,250.85,3,123,20.4,1
CUST00098,North,Mobile,Basic,1162,66.45,8,139.84,0,200,6.3,1
CUST00099,East,Desktop,Premium,392,43.48,2,98.92,1,152,1.0,1
CUST00100,South,Desktop,Free,1021,59.24,10,174.92,1,300,7.7,1
CUST00101,East,Desktop,Free,1188,0.13,1,175.01,0,160,10.4,1
CUST00102,Central,Tablet,Free,1165,40.34,5,29.89,4,148,6.6,1
CUST00103,North,Mobile,Free,1372,17.61,5,81.63,0,361,8.7,1
CUST00104,North,Mobile,Basic,1119,15.78,2,196.47,1,347,9.8,1
CUST00105,West,Mobile,Free,317,170.61,1,237.29,1,59,10.8,1
CUST00106,North,Desktop,Basic,920,151.68,7,47.41,2,362,3.8,1
CUST00107,East,Desktop,Enterprise,915,69.62,9,66.0,2,147,9.9,0
CUST00108,North,Desktop,Basic,1171,18.1,2,145.05,3,198,4.0,1
CUST00109,North,Mobile,Free,649,,5,110.89,1,277,6.0,1
CUST00110,North,Tablet,Premium,572,27.5,4,132.43,1,244,,0
CUST00111,East,Tablet,Free,1188,24.76,1,22.32,0,344,11.7,1
CUST00112,North,Tablet,Free,127,14.04,6,,2,186,7.3,1
CUST00113,North,Mobile,Free,561,74.2,3,146.18,4,118,8.4,0
CUST00114,North,Desktop,Enterprise,209,36.85,7,159.24,3,195,11.5,1
CUST00115,North,Desktop,Free,820,28.0,5,236.28,1,62,5.2,1
CUST00116,North,Mobile,Free,599,2.34,3,194.68,0,230,13.2,1
CUST00117,North,Mobile,Free,734,33.07,4,197.31,2,259,10.1,0
CUST00118,East,Desktop,Basic,1333,54.51,7,123.43,1,220,7.2,1
CUST00119,East,Mobile,Free,867,38.88,2,,1,61,13.4,0
CUST00120,North,Mobile,Basic,216,96.48,4,119.91,1,97,8.8,1
CUST00121,East,Tablet,Enterprise,730,88.02,5,214.67,1,291,3.8,0
CUST00122,West,Tablet,Free,154,,6,142.96,3,72,13.1,0
CUST00123,South,Desktop,Free,785,54.22,8,115.17,0,232,9.9,0
CUST00124,South,Desktop,Free,1175,2.35,7,,1,35,10.4,0
CUST00125,North,Mobile,Free,360,2.5,2,144.35,2,264,10.5,1
CUST00126,West,Mobile,Basic,-1,32.05,1,148.11,1,106,15.2,0
CUST00127,West,Mobile,Free,1190,62.9,3,75.32,0,198,10.5,0
CUST00128,North,Mobile,Free,643,118.53,3,90.93,0,125,7.8,0
CUST00129,North,Desktop,Basic,870,67.06,7,142.45,0,157,2.2,0
CUST00130,West,Mobile,Basic,1226,41.12,4,27.67,1,162,8.4,0
CUST00131,South,Mobile,Premium,1496,25.11,0,,1,285,7.0,1
CUST00132,North,Tablet,Free,424,64.43,4,142.59,1,120,9.3,1
CUST00133,North,Desktop,Basic,357,29.64,7,5.0,1,153,14.4,0
CUST00134,North,Desktop,Basic,870,101.72,9,124.02,0,295,6.6,1
CUST00135,South,Desktop,Basic,470,16.38,5,223.88,2,332,13.1,1
CUST00136,East,Mobile,Enterprise,434,17.39,2,131.94,0,355,5.8,1
CUST00137,Central,Tablet,Enterprise,482,151.62,5,193.23,2,155,8.2,0
CUST00138,East,Desktop,Basic,1002,192.57,7,159.49,2,142,11.7,0
CUST00139,South,Desktop,Premium,1301,51.99,5,108.27,0,210,13.8,1
CUST00140,East,Mobile,Free,814,13.3,5,192.76,2,20,8.2,0
CUST00141,North,Desktop,Basic,1475,81.68,5,144.58,2,234,,1
CUST00142,East,Mobile,Basic,670,57.95,8,124.45,1,81,9.6,0
CUST00143,East,Mobile,Free,934,6.09,3,185.25,0,115,9.7,1
CUST00144,North,Mobile,Free,480,,3,93.38,0,194,3.7,0
CUST00145,South,Mobile,Basic,1386,,6,166.99,1,346,,1
CUST00146,North,Desktop,Free,1119,37.13,5,144.08,0,278,11.5,1
CUST00147,North,Mobile,Enterprise,953,372.54,6,68.39,1,186,6.8,1
CUST00148,North,Tablet,Premium,446,68.79,7,17.01,1,255,9.0,1
CUST00149,North,Desktop,Free,603,109.32,2,127.16,0,236,3.5,1
CUST00150,North,Desktop,Free,1320,65.48,3,203.59,1,19,1.5,1
CUST00151,East,Tablet,Premium,338,58.16,4,42.32,0,181,10.9,1
CUST00152,North,Tablet,Free,572,19.05,5,67.6,3,363,3.6,1
CUST00153,South,Mobile,Free,1108,13.42,3,38.78,2,99,10.9,1
CUST00154,North,Mobile,Free,154,132.44,4,86.98,2,116,1.7,1
CUST00155,South,Tablet,Free,1246,31.1,5,171.67,2,315,8.5,1
CUST00156,North,Mobile,Premium,456,28.8,6,90.44,0,316,5.1,0
CUST00157,South,Mobile,Free,877,120.21,5,177.24,3,131,1.6,0
CUST00158,South,Mobile,Enterprise,1411,76.45,2,7.98,1,246,6.2,0
CUST00159,North,Mobile,Basic,384,22.72,5,112.09,2,306,5.5,1
CUST00160,North,Mobile,Free,1447,53.71,8,5.0,1,266,12.0,1
CUST00161,West,Tablet,Premium,1388,126.0,3,136.36,2,169,1.0,0
CUST00162,South,Mobile,Free,1489,8.63,4,129.34,2,47,6.7,0
CUST00163,North,Desktop,Free,1246,1.78,4,36.83,2,227,10.4,1
CUST00164,West,Desktop,Free,558,34.13,6,198.49,2,208,12.4,0
CUST00165,West,Desktop,Free,408,207.01,4,153.6,0,354,10.9,1
CUST00166,West,Mobile,Basic,1273,79.92,3,5.0,2,36,1.9,0
CUST00167,East,Desktop,Basic,564,69.02,5,167.85,0,289,4.6,0
CUST00168,North,Desktop,Basic,648,6.67,4,97.74,1,346,4.8,1
CUST00169,West,Desktop,Free,166,129.87,5,142.17,1,25,12.3,0
CUST00170,South,Mobile,Premium,150,110.85,5,114.99,2,109,5.7,1
CUST00171,West,Mobile,Premium,421,27.79,4,132.66,1,169,4.7,1
CUST00172,South,Mobile,Basic,752,23.62,1,25.37,0,77,11.2,0
CUST00173,North,Mobile,Free,140,2.35,2,93.17,2,262,3.7,1
CUST00174,Central,Tablet,Free,1398,29.19,4,84.51,1,292,8.0,0
CUST00175,North,Tablet,Free,503,26.28,4,117.96,2,308,7.7,1
CUST00176,East,Desktop,Free,804,53.48,9,5.0,1,218,8.9,0
CUST00177,North,Mobile,Free,66,2.87,4,54.8,2,197,4.9,1
CUST00178,North,Mobile,Free,74,162.03,3,177.17,2,356,1.0,0
CUST00179,North,Mobile,Free,1384,111.95,4,209.12,3,67,13.3,0
CUST00180,East,Desktop,Enterprise,1183,24.15,3,69.99,1,18,8.7,0
CUST00181,North,Mobile,Basic,883,433.6,3,71.91,0,65,9.6,0
CUST00182,East,Mobile,Free,908,87.67,4,132.75,0,338,4.7,1
CUST00183,Central,Desktop,Basic,762,11.98,4,5.0,1,246,15.4,1
CUST00184,North,Mobile,Basic,357,132.31,3,173.92,3,119,7.6,1
CUST00185,North,Mobile,Premium,781,62.97,7,141.75,0,207,5.5,1
CUST00186,South,Desktop,Basic,142,87.35,7,5.0,3,66,5.1,1
CUST00187,East,Desktop,Free,509,117.58,4,99.14,3,314,8.3,1
CUST00188,Central,Mobile,Free,731,22.37,8,68.85,0,316,11.4,0
CUST00189,North,Desktop,Enterprise,518,84.32,6,67.14,1,13,4.9,0
CUST00190,South,Mobile,Premium,1237,31.42,3,132.48,2,228,9.4,0
CUST00191,North,Desktop,Free,1467,21.25,4,68.46,0,157,15.2,1
CUST00192,North,Mobile,Basic,502,62.33,10,114.53,0,243,,1
CUST00193,North,Desktop,Enterprise,849,34.79,7,148.24,0,163,11.2,0
CUST00194,East,Tablet,Free,27,83.67,4,5.95,1,238,9.9,0
CUST00195,North,Mobile,Basic,274,1.13,3,95.92,2,84,8.4,1
CUST00196,West,Desktop,Free,1296,23.53,4,,1,103,7.4,1
CUST00197,West,Desktop,Free,541,12.51,6,96.42,0,62,10.4,1
CUST00198,East,Desktop,Basic,1140,30.3,3,5.0,2,350,13.7,0
CUST00199,North,Desktop,Free,1257,25.82,9,94.94,1,81,7.8,0
CUST00200,North,Mobile,Free,976,57.36,4,200.96,0,19,5.3,0
CUST00201,West,Desktop,Free,708,,6,116.18,1,337,6.2,1
CUST00202,North,Mobile,Free,888,121.59,6,141.32,0,180,1.0,0
CUST00203,South,Desktop,Free,711,6.9,4,94.73,1,357,6.0,1
CUST00204,South,Mobile,Free,1192,40.22,2,91.27,0,41,11.2,0
CUST00205,North,Mobile,Basic,1320,150.66,1,136.89,1,206,5.0,0
CUST00206,Central,Tablet,Enterprise,709,58.45,8,64.6,2,171,9.8,0
CUST00207,North,Desktop,Free,741,21.15,7,66.47,0,240,6.2,0
CUST00208,East,Mobile,Premium,325,101.82,5,,0,351,11.9,1
CUST00209,West,Mobile,Premium,60,2.13,2,12.16,1,205,15.7,1
CUST00210,East,Mobile,Free,170,10.95,11,172.73,2,54,5.9,1
CUST00211,North,Mobile,Free,1060,62.46,7,201.64,0,321,1.2,0
CUST00212,East,Desktop,Free,206,20.22,7,5.0,0,99,2.9,1
CUST00213,North,Desktop,Premium,733,173.59,7,63.91,1,362,7.3,0
CUST00214,Central,Mobile,Free,1002,33.64,9,105.51,1,139,1.8,1
CUST00215,North,Mobile,Free,815,191.75,8,26.53,5,138,4.6,1
CUST00216,East,Mobile,Basic,1456,92.64,6,145.03,3,74,1.0,0
CUST00217,East,Desktop,Free,1050,10.08,2,136.82,1,353,13.0,0
CUST00218,South,Mobile,Free,1247,23.3,2,59.74,1,272,,1
CUST00219,North,Tablet,Basic,742,125.4,6,203.16,0,174,9.5,1
CUST00220,North,Mobile,Basic,1334,32.55,5,150.19,1,171,3.1,0
CUST00221,East,Mobile,Basic,589,128.2,4,150.11,2,222,8.2,1
CUST00222,Central,Mobile,Free,720,14.7,6,141.78,2,88,6.3,0
CUST00223,Central,Mobile,Free,1222,63.0,5,146.41,1,315,18.2,1
CUST00224,East,Mobile,Premium,768,97.48,6,107.29,0,263,1.8,1
CUST00225,North,Desktop,Free,1013,4.06,3,5299.791359489261,0,221,10.5,1
CUST00226,East,Desktop,Premium,522,31.96,2,139.82,1,252,11.4,0
CUST00227,North,Mobile,Free,1118,8.62,4,162.03,0,275,,1
CUST00228,North,Tablet,Basic,1059,209.01,3,98.74,0,28,10.5,1
CUST00229,East,Mobile,Free,251,211.83,4,301.84,0,354,,0
CUST00230,East,Desktop,Enterprise,586,0.66,5,200.67,0,313,8.2,0
CUST00231,North,Mobile,Free,997,44.7,1,265.81,0,4,8.7,0
CUST00232,North,Desktop,Basic,25,179.32,4,158.82,1,202,13.2,1
CUST00233,North,Desktop,Basic,160,3.05,2,252.33,0,51,15.3,0
CUST00234,South,Desktop,Free,92,2.95,5,,1,287,8.5,1
CUST00235,West,Mobile,Free,635,7.64,4,,0,81,5.9,0
CUST00236,North,Mobile,Basic,546,107.49,2,35.08,0,27,10.3,0
CUST00237,South,Desktop,Basic,1478,128.94,3,165.78,0,207,,0
CUST00238,North,Tablet,Free,740,3.31,3,65.99,1,313,9.6,0
CUST00239,North,Mobile,Basic,260,77.36,5,138.65,1,48,6.3,0
CUST00240,East,Mobile,Free,7,123.67,5,131.96,1,106,9.2,1
CUST00241,South,Desktop,Basic,1463,77.5,5,77.22,2,46,5.9,0
CUST00242,West,Mobile,Premium,525,2.0,3,136.13,4,287,,1
CUST00243,West,Desktop,Free,517,76.6,7,92.57,3,340,8.9,1
CUST00244,North,Mobile,Basic,262,65.61,7,149.7,1,159,2.6,0
CUST00245,North,Desktop,Enterprise,257,6.7,5,63.21,3,6,8.1,0
CUST00246,East,Mobile,Premium,373,9.5,4,112.03,0,6,7.2,0
CUST00247,West,Desktop,Basic,418,,9,177.63,2,364,,1
CUST00248,West,Mobile,Enterprise,1405,26.69,2,188.17,3,245,10.5,0
CUST00249,North,Mobile,Free,810,,7,218.72,1,32,5.8,0
CUST00250,North,Mobile,Basic,-1,58.82,4,165.15,2,214,4.4,0
CUST00251,North,Mobile,Basic,1251,133.74,5,159.67,0,113,3.5,0
CUST00252,North,Mobile,Basic,721,61.01,3,69.08,2,224,7.5,1
CUST00253,North,Desktop,Basic,1312,245.88,5,66.38,0,364,14.4,1
CUST00254,North,Mobile,Free,533,,6,67.9,1,211,9.6,1
CUST00255,South,Desktop,Free,633,29.02,8,197.41,0,141,9.1,0
CUST00256,West,Mobile,Basic,955,48.68,5,121.86,3,22,3.2,0
CUST00257,North,Desktop,Premium,35,117.44,6,40.87,2,84,2.6,0
CUST00258,East,Mobile,Free,1394,157.04,13,112.32,1,312,9.6,1
CUST00259,North,Tablet,Free,1395,99.95,3,86.22,0,285,1.0,0
CUST00260,North,Mobile,Basic,178,108.1,5,78.78,2,319,8.6,0
CUST00261,South,Mobile,Free,116,15.34,3,109.07,1,155,10.0,0
CUST00262,Central,Mobile,Free,510,79.5,4,170.41,0,142,12.0,1
CUST00263,North,Mobile,Basic,1452,68.0,6,86.48,2,1,2.1,0
CUST00264,Central,Mobile,Premium,660,121.29,2,113.53,0,239,,0
CUST00265,North,Mobile,Free,1176,47.06,4,11.08,1,177,15.7,0
CUST00266,West,Mobile,Basic,814,5.53,7,59.45,0,5,14.3,1
CUST00267,South,Mobile,Premium,314,34.12,4,,4,328,8.6,1
CUST00268,West,Tablet,Free,1285,46.82,9,176.14,0,166,7.6,0
CUST00269,South,Desktop,Premium,578,51.94,3,25.18,2,353,14.6,0
CUST00270,North,Tablet,Basic,711,53.05,6,214.83,2,334,12.2,0
CUST00271,West,Tablet,Basic,71,15.9,5,245.57,1,144,13.4,0
CUST00272,North,Mobile,Premium,1471,139.37,6,86.9,1,264,7.1,0
CUST00273,East,Mobile,Basic,14,21.86,4,78.42,0,101,4.2,1
CUST00274,Central,Mobile,Basic,551,37.26,8,,3,310,7.7,1
CUST00275,West,Desktop,Basic,785,104.01,4,,1,218,13.6,0
CUST00276,South,Desktop,Free,1378,22.59,7,166.95,0,209,13.6,0
CUST00277,North,Tablet,Enterprise,664,283.85,5,121.06,0,332,7.9,0
CUST00278,East,Mobile,Free,1333,85.61,3,,0,80,11.6,0
CUST00279,North,Mobile,Enterprise,1449,150.12,8,102.18,0,33,,0
CUST00280,West,Mobile,Free,379,49.48,5,132.74,1,249,8.5,1
CUST00281,South,Mobile,Premium,470,166.4,5,87.28,3,299,7.4,1
CUST00282,North,Mobile,Basic,1186,45.21,6,197.87,2,14,2.7,0
CUST00283,South,Tablet,Free,813,242.92,2,164.1,0,250,12.8,0
CUST00284,South,Mobile,Enterprise,1391,188.45,4,232.74,1,46,5.9,0
CUST00285,North,Mobile,Premium,446,37.29,8,129.71,0,303,9.9,1
CUST00286,East,Mobile,Premium,498,40.53,7,56.72,1,192,4.8,1
CUST00287,North,Mobile,Basic,889,107.25,2,,3,141,11.5,1
CUST00288,North,Mobile,Basic,1410,45.67,9,114.18,1,225,17.7,0
CUST00289,South,Mobile,Basic,963,,5,244.75,0,3,5.9,0
CUST00290,North,Mobile,Enterprise,606,125.26,3,119.04,1,27,11.3,1
CUST00291,North,Tablet,Free,1011,83.65,6,71.15,1,74,,1
CUST00292,South,Mobile,Free,186,274.68,6,78.27,0,305,3.7,0
CUST00293,North,Mobile,Premium,838,149.45,2,,1,252,15.9,0
CUST00294,North,Mobile,Basic,807,54.01,3,155.52,0,174,3.5,0
CUST00295,North,Mobile,Premium,298,110.11,2,207.5,1,74,4.7,0
CUST00296,East,Mobile,Enterprise,1492,61.93,6,176.24,2,80,3.0,0
CUST00297,South,Mobile,Free,679,121.8,9,123.01,1,304,5.5,0
CUST00298,North,Mobile,Basic,1209,,4,56.3,1,329,5.9,1
CUST00299,East,Mobile,Free,500,91.45,4,126.32,2,177,7.0,1
CUST00300,North,Desktop,Free,681,29.33,6,140.56,0,188,,1
CUST00301,West,Tablet,Premium,1271,124.85,2,174.42,0,221,5.2,0
CUST00302,South,Mobile,Basic,874,192.26,6,,1,131,9.6,0
CUST00303,South,Desktop,Basic,1042,25.11,6,90.53,2,175,,1
CUST00304,North,Mobile,Free,267,51.33,4,129.16,1,63,10.5,1
CUST00305,North,Desktop,Free,493,5.0,3,180.46,2,85,10.2,1
CUST00306,North,Mobile,Free,245,128.07,3,90.49,0,336,10.9,1
CUST00307,South,Mobile,Basic,143,10.32,6,175.88,1,135,10.1,0
CUST00308,South,Desktop,Free,705,85.87,3,107.63,1,10,12.4,1
CUST00309,North,Mobile,Basic,1200,131.36,3,124.12,4,41,6.8,0
CUST00310,South,Desktop,Basic,1284,77.76,6,110.92,2,99,9.6,1
CUST00311,North,Mobile,Free,59,22.3,2,144.88,0,106,9.3,1
CUST00312,East,Mobile,Premium,628,37.48,6,233.18,1,96,11.8,1
CUST00313,West,Mobile,Basic,1006,8.99,9,46.02,1,347,3.2,1
CUST00314,East,Tablet,Free,559,202.83,6,194.23,2,283,6.4,1
CUST00315,Central,Mobile,Premium,1249,32.07,8,,1,138,9.8,1
CUST00316,South,Desktop,Premium,580,152.34,6,,0,202,6.2,0
CUST00317,North,Mobile,Free,402,360.43,6,236.42,2,116,4.7,1
CUST00318,Central,Mobile,Basic,890,58.51,3,85.13,2,192,3.9,0
CUST00319,West,Desktop,Basic,1036,72.78,3,44.36,0,240,9.9,1
CUST00320,West,Mobile,Free,512,37.43,4,44.14,2,352,8.4,1
CUST00321,North,Desktop,Free,1203,101.13,3,77.04,3,111,15.1,1
CUST00322,South,Mobile,Free,873,149.87,7,141.67,0,336,10.1,1
CUST00323,North,Desktop,Free,245,353.16,5,149.5,1,210,4.4,0
CUST00324,South,Mobile,Free,1204,178.77,5,188.33,0,320,7.0,0
CUST00325,East,Mobile,Basic,890,156.78,5,88.22,2,229,,0
CUST00326,East,Desktop,Premium,674,10.5,3,95.34,1,17,11.3,0
CUST00327,East,Mobile,Basic,1080,129.74,3,214.59,0,317,18.7,0
CUST00328,North,Mobile,Enterprise,791,117.75,10,37.41,1,72,3.1,1
CUST00329,North,Mobile,Basic,519,184.43,7,146.65,1,171,6.7,0
CUST00330,South,Mobile,Free,618,23.11,9,25.24,1,234,6.0,1
CUST00331,East,Mobile,Free,931,43.85,6,166.24,2,330,10.5,0
CUST00332,North,Desktop,Basic,424,14.08,3,151.65,3,50,10.2,1
CUST00333,North,Mobile,Basic,1234,65.53,5,66.58,3,12,1.7,0
CUST00334,North,Desktop,Basic,523,178.79,2,72.74,0,113,14.1,0
CUST00335,North,Mobile,Free,535,167.09,5,119.48,1,42,6.6,1
CUST00336,South,Mobile,Basic,679,88.35,4,213.22,0,127,5.8,1
CUST00337,South,Desktop,Basic,162,129.11,6,5.47,3,157,9.7,1
CUST00338,West,Mobile,Basic,123,,8,164.05,1,32,9.4,0
CUST00339,North,Mobile,Premium,394,107.9,4,80.36,2,7,9.7,0
CUST00340,South,Mobile,Premium,685,3.13,4,49.05,2,37,3.6,0
CUST00341,North,Tablet,Free,625,26.23,1,176.3,2,304,7.3,1
CUST00342,North,Mobile,Free,1087,351.16,2,119.56,0,308,5.1,0
CUST00343,West,Mobile,Premium,430,327.95,4,106.41,4,54,7.1,0
CUST00344,East,Mobile,Free,1066,14.08,6,172.84,1,247,8.9,1
CUST00345,North,Mobile,Free,1081,252.01,2,87.43,0,275,6.8,1
CUST00346,East,Mobile,Basic,814,,5,89.59,1,44,3.8,0
CUST00347,South,Mobile,Free,489,58.77,14,211.44,2,336,13.1,1
CUST00348,North,Desktop,Premium,976,65.98,5,154.73,0,226,3.3,0
CUST00349,Central,Mobile,Free,551,48.62,9,5.0,1,206,10.9,1
CUST00350,North,Desktop,Free,1088,4.84,4,27.49,1,353,6.0,0
CUST00351,North,Mobile,Premium,83,191.39,6,8156.79770830362,3,82,4.8,1
CUST00352,West,Desktop,Free,488,97.68,7,45.18,2,310,6.3,1
CUST00353,East,Desktop,Premium,356,,3,186.58,1,287,2.4,0
CUST00354,North,Desktop,Basic,209,77.5,4,181.17,0,287,16.9,0
CUST00355,East,Mobile,Free,729,179.89,4,128.01,2,250,8.6,1
CUST00356,South,Mobile,Basic,355,8.0,4,87.7,0,236,10.7,1
CUST00357,West,Mobile,Free,147,73.28,2,55.52,2,210,13.2,1
CUST00358,East,Mobile,Free,774,,10,138.62,0,220,4.0,1
